"User_Id","Min_Aft","Min_Eve","Min_Mid","Buy_Coin","Buy_Dia","Buy_Car"
"wCjAazzKFE",4,11,128,0,673,30
"wCjAazzKFE",6,19,76,0,837,25
"wCjAazzKFE",5,9,108,0,650,17
"wCjAazzKFE",6,8,92,0,668,30
"wCjAazzKFE",5,10,94,0,676,32
"yz2XqTDEdo",5,13,146,0,539,37
"yz2XqTDEdo",5,6,14,0,568,30
"yz2XqTDEdo",6,15,85,0,392,37
"yz2XqTDEdo",4,11,142,0,566,24
"yz2XqTDEdo",4,13,116,0,494,27
"OKarWhWKiL",6,13,148,0,809,0
"OKarWhWKiL",3,8,155,0,338,36
"OKarWhWKiL",5,10,128,0,390,36
"OKarWhWKiL",5,15,112,0,484,25
"OKarWhWKiL",6,13,108,0,703,20
"y2CJzQ1jTK",4,9,128,30,1014,28
"y2CJzQ1jTK",5,8,99,0,424,27
"y2CJzQ1jTK",7,14,80,0,418,25
"y2CJzQ1jTK",6,15,109,30,728,22
"y2CJzQ1jTK",6,8,153,0,569,31
"4S1m66UrG3",6,13,43,0,555,43
"4S1m66UrG3",7,10,89,0,699,22
"4S1m66UrG3",4,14,175,0,454,35
"4S1m66UrG3",5,15,106,30,724,24
"4S1m66UrG3",5,13,66,30,555,0
"9luMsT5otV",6,11,104,0,735,35
"9luMsT5otV",3,10,68,0,744,30
"9luMsT5otV",4,12,154,0,732,18
"9luMsT5otV",4,15,133,0,366,24
"9luMsT5otV",4,8,103,0,479,30
"c9hYZgHrTT",7,13,129,30,562,27
"c9hYZgHrTT",4,16,129,0,1020,21
"c9hYZgHrTT",5,13,65,0,652,32
"c9hYZgHrTT",4,9,134,0,407,40
"c9hYZgHrTT",6,16,151,10,584,35
"7lWiohi7kH",5,14,127,0,457,37
"7lWiohi7kH",7,7,114,0,655,36
"7lWiohi7kH",5,12,107,0,400,28
"7lWiohi7kH",3,8,116,0,483,0
"7lWiohi7kH",5,15,99,0,691,34
"dz2VkYlnk0",5,7,131,0,683,19
"dz2VkYlnk0",6,14,166,0,784,35
"dz2VkYlnk0",5,11,119,0,561,33
"dz2VkYlnk0",5,18,83,0,691,43
"dz2VkYlnk0",4,15,124,0,476,33
"5SwqlMgl50",6,7,94,0,463,0
"5SwqlMgl50",3,11,74,0,644,31
"5SwqlMgl50",5,13,163,0,839,33
"5SwqlMgl50",7,14,187,0,630,33
"5SwqlMgl50",4,7,72,30,282,32
"W5i2mtWlbH",6,13,124,0,792,20
"W5i2mtWlbH",4,9,67,10,557,20
"W5i2mtWlbH",5,14,148,0,523,24
"W5i2mtWlbH",7,14,103,0,563,20
"W5i2mtWlbH",4,21,128,0,726,0
"xoZgOUueoL",6,14,153,0,509,28
"xoZgOUueoL",3,15,124,0,566,26
"xoZgOUueoL",4,9,70,0,406,0
"xoZgOUueoL",5,14,113,0,322,22
"xoZgOUueoL",5,12,160,0,674,39
"8MabsLE7OG",5,13,126,0,885,29
"8MabsLE7OG",4,16,112,0,731,30
"8MabsLE7OG",6,14,60,0,347,0
"8MabsLE7OG",4,13,75,0,485,42
"8MabsLE7OG",5,11,153,10,634,27
"TB23EiazGg",6,12,166,0,542,33
"TB23EiazGg",4,11,94,0,720,35
"TB23EiazGg",4,14,50,0,896,22
"TB23EiazGg",5,18,178,0,646,22
"TB23EiazGg",5,15,167,0,705,0
"eWrloUnMkq",5,10,141,0,769,29
"eWrloUnMkq",3,13,44,10,763,26
"eWrloUnMkq",5,9,109,0,417,31
"eWrloUnMkq",6,10,144,0,562,31
"eWrloUnMkq",6,13,120,0,642,23
"jSkeWQiyow",4,18,141,0,655,24
"jSkeWQiyow",6,13,118,0,571,30
"jSkeWQiyow",4,15,101,0,511,22
"jSkeWQiyow",3,13,125,0,524,30
"jSkeWQiyow",7,10,140,0,506,27
"brw7pP2OoK",3,14,73,0,760,18
"brw7pP2OoK",5,12,158,0,791,36
"brw7pP2OoK",4,14,109,0,589,30
"brw7pP2OoK",7,12,84,0,770,25
