iso2,year,new_sp,gender,age_lb,age_ub,cases
AD,1989,NA,m,0,4,NA
AD,1990,NA,m,0,4,NA
AD,1991,NA,m,0,4,NA
AD,1992,NA,m,0,4,NA
AD,1993,15,m,0,4,NA
AD,1994,24,m,0,4,NA
AD,1996,8,m,0,4,NA
AD,1997,17,m,0,4,NA
AD,1998,1,m,0,4,NA
AD,1999,4,m,0,4,NA
AD,2000,1,m,0,4,NA
AD,2001,3,m,0,4,NA
AD,2002,2,m,0,4,NA
AD,2003,7,m,0,4,NA
AD,2004,3,m,0,4,NA
AD,2005,5,m,0,4,0
AD,2006,8,m,0,4,0
AD,2007,2,m,0,4,NA
AD,2008,3,m,0,4,0
AE,1980,NA,m,0,4,NA
AE,1981,NA,m,0,4,NA
AE,1982,NA,m,0,4,NA
AE,1983,NA,m,0,4,NA
AE,1984,NA,m,0,4,NA
AE,1985,NA,m,0,4,NA
AE,1986,NA,m,0,4,NA
AE,1987,NA,m,0,4,NA
AE,1988,NA,m,0,4,NA
AE,1989,NA,m,0,4,NA
AE,1990,NA,m,0,4,NA
AE,1991,NA,m,0,4,NA
AE,1992,NA,m,0,4,NA
AE,1994,NA,m,0,4,NA
AE,1996,NA,m,0,4,NA
AE,1998,NA,m,0,4,NA
AE,1999,31,m,0,4,NA
AE,2000,73,m,0,4,NA
AE,2001,69,m,0,4,NA
AE,2002,57,m,0,4,NA
AE,2003,77,m,0,4,NA
AE,2004,57,m,0,4,NA
AE,2005,62,m,0,4,NA
AE,2006,52,m,0,4,0
AE,2007,56,m,0,4,0
AE,2008,50,m,0,4,0
AF,1980,NA,m,0,4,NA
AF,1981,NA,m,0,4,NA
AF,1982,NA,m,0,4,NA
AF,1983,NA,m,0,4,NA
AF,1984,NA,m,0,4,NA
AF,1985,NA,m,0,4,NA
AF,1986,NA,m,0,4,NA
AF,1987,NA,m,0,4,NA
AF,1988,NA,m,0,4,NA
AF,1989,NA,m,0,4,NA
AF,1990,NA,m,0,4,NA
AF,1991,NA,m,0,4,NA
AF,1997,618,m,0,4,NA
AF,1998,1833,m,0,4,NA
AF,1999,1669,m,0,4,NA
AF,2000,2892,m,0,4,NA
AF,2001,4639,m,0,4,NA
AF,2002,6509,m,0,4,NA
AF,2003,6510,m,0,4,NA
AF,2004,8273,m,0,4,NA
AF,2005,9949,m,0,4,NA
AF,2006,12468,m,0,4,NA
AF,2007,13213,m,0,4,NA
AF,2008,13136,m,0,4,NA
AG,1980,NA,m,0,4,NA
AG,1981,NA,m,0,4,NA
AG,1982,NA,m,0,4,NA
AG,1983,NA,m,0,4,NA
AG,1984,NA,m,0,4,NA
AG,1985,NA,m,0,4,NA
AG,1986,NA,m,0,4,NA
AG,1987,NA,m,0,4,NA
AG,1988,NA,m,0,4,NA
AG,1989,NA,m,0,4,NA
AG,1990,NA,m,0,4,NA
AG,1991,NA,m,0,4,NA
AG,1992,NA,m,0,4,NA
AG,1995,NA,m,0,4,NA
AG,1996,2,m,0,4,NA
AG,1997,NA,m,0,4,NA
AG,1998,NA,m,0,4,NA
AG,1999,1,m,0,4,NA
AG,2000,3,m,0,4,NA
AG,2001,1,m,0,4,NA
AG,2002,2,m,0,4,NA
AG,2003,1,m,0,4,NA
AG,2004,NA,m,0,4,NA
AG,2005,6,m,0,4,NA
AG,2006,4,m,0,4,NA
AG,2007,2,m,0,4,0
AG,2008,1,m,0,4,NA
AI,1980,NA,m,0,4,NA
AI,1981,NA,m,0,4,NA
AI,1982,NA,m,0,4,NA
AI,1983,NA,m,0,4,NA
AI,1984,NA,m,0,4,NA
AI,1985,NA,m,0,4,NA
AI,1986,NA,m,0,4,NA
AI,1987,NA,m,0,4,NA
AI,1988,NA,m,0,4,NA
