user_id,gender,service,age,country
1,male,golden,20,US
2,male,premium,53,US
3,female,premium,44,TW
4,male,golden,44,UK
5,male,normal,20,US
6,female,golden,26,UK
7,female,premium,17,UK
8,female,golden,29,US
9,male,premium,42,US
10,male,golden,26,US
11,female,premium,19,US
12,male,golden,21,US
13,female,golden,48,UK
14,male,golden,26,US
15,male,normal,33,US
16,female,golden,27,TW
17,male,normal,46,US
18,male,normal,50,JP
19,female,normal,48,US
20,male,normal,33,US
21,male,golden,51,US
22,male,normal,32,UK
23,male,premium,21,JP
24,male,premium,17,BR
25,female,normal,20,JP
26,female,golden,49,US
27,male,normal,50,UK
28,male,golden,51,UK
29,male,premium,25,US
30,male,golden,27,US
31,male,golden,38,US
32,male,golden,17,US
33,female,golden,40,US
34,male,normal,32,US
35,female,golden,30,UK
36,female,premium,23,JP
37,male,golden,32,US
38,female,golden,38,US
39,male,golden,22,US
40,female,premium,32,US
41,male,normal,43,TW
42,male,normal,50,US
43,male,golden,18,UK
44,female,normal,52,US
45,female,premium,39,US
46,male,premium,47,JP
47,male,golden,28,BR
48,male,golden,42,US
49,female,golden,23,US
50,female,golden,45,UK
51,female,normal,23,JP
52,male,premium,31,US
53,male,normal,48,US
54,male,golden,47,US
55,female,golden,34,UK
56,male,golden,40,US
57,male,normal,23,UK
58,female,premium,52,US
59,female,normal,27,US
60,female,golden,36,JP
61,female,golden,23,US
62,male,golden,24,BR
63,female,normal,40,US
64,female,premium,15,US
65,female,normal,17,UK
66,female,golden,26,US
67,female,golden,26,US
68,male,golden,45,US
69,female,normal,22,UK
70,male,golden,33,TW
71,female,premium,19,US
72,male,normal,32,UK
73,male,normal,16,UK
74,female,normal,18,US
75,female,normal,40,US
76,male,golden,28,US
77,male,premium,40,US
78,female,golden,23,US
79,female,normal,18,US
80,female,premium,15,UK
81,male,golden,51,US
82,female,golden,34,US
83,female,normal,17,US
84,female,golden,40,US
85,female,golden,32,US
86,male,golden,50,US
87,male,golden,18,US
88,male,normal,26,US
89,female,normal,33,US
90,female,golden,40,US
91,male,normal,20,US
92,female,normal,50,US
93,male,normal,41,US
94,female,premium,18,TW
95,male,golden,48,US
96,male,golden,14,JP
97,female,golden,51,UK
98,male,normal,25,JP
99,male,golden,37,UK
100,male,golden,36,US
101,male,golden,14,UK
102,female,golden,17,US
103,male,normal,33,US
104,female,premium,18,US
105,female,golden,27,US
106,female,golden,44,US
107,female,normal,46,BR
108,female,normal,47,US
109,female,normal,51,TW
110,female,normal,51,BR
111,male,normal,17,JP
112,male,normal,25,US
113,male,golden,17,TW
114,female,golden,48,US
115,male,normal,21,US
116,male,normal,19,JP
117,female,golden,22,US
118,female,golden,44,UK
119,female,premium,49,US
120,female,premium,25,UK
121,female,normal,19,UK
122,male,golden,28,US
123,male,normal,51,US
124,male,normal,19,US
125,female,golden,43,US
126,male,normal,50,UK
127,male,golden,50,US
128,female,normal,18,US
129,female,golden,19,US
130,female,normal,44,UK
131,female,normal,21,US
132,female,normal,31,UK
133,male,normal,45,US
134,female,normal,39,US
135,male,premium,42,US
136,female,golden,29,UK
137,female,premium,51,US
138,female,normal,19,BR
139,female,normal,17,US
140,male,normal,38,US
141,male,normal,14,US
142,female,normal,20,US
143,male,normal,51,US
144,male,golden,36,US
145,female,golden,25,US
146,male,golden,40,JP
147,female,golden,48,US
148,male,golden,32,UK
149,female,golden,26,UK
150,male,golden,26,JP
151,male,golden,31,UK
152,male,golden,43,JP
153,male,normal,22,US
154,male,premium,21,JP
155,female,golden,18,UK
156,female,golden,23,UK
157,male,golden,33,US
158,male,premium,19,US
159,female,normal,38,JP
160,female,golden,48,US
161,male,golden,15,US
162,male,golden,35,BR
163,male,premium,16,US
164,female,normal,20,UK
165,female,golden,25,JP
166,male,golden,27,US
167,male,golden,18,UK
168,male,golden,38,TW
169,female,premium,22,US
170,female,golden,28,US
171,male,normal,20,US
172,male,normal,43,BR
173,female,golden,28,US
174,female,normal,18,UK
175,female,normal,35,US
176,male,golden,38,US
177,male,golden,31,US
178,male,golden,53,US
179,female,premium,20,UK
180,female,premium,53,JP
181,female,golden,15,JP
182,female,normal,40,US
183,male,premium,35,JP
184,female,normal,50,UK
185,male,golden,38,US
186,female,golden,50,BR
187,male,golden,19,UK
188,female,golden,49,US
189,male,premium,39,JP
190,male,normal,38,UK
191,female,golden,27,US
192,female,normal,49,US
193,female,normal,21,UK
194,male,normal,47,US
195,female,premium,17,US
196,male,golden,52,US
197,female,premium,39,UK
198,male,golden,45,US
199,male,premium,40,BR
200,female,premium,22,BR
201,male,golden,40,US
202,female,golden,31,UK
203,female,normal,52,UK
204,male,golden,21,TW
205,male,normal,23,US
206,female,normal,31,UK
207,male,golden,29,JP
208,female,normal,39,UK
209,female,golden,33,US
210,female,premium,37,UK
211,female,premium,49,US
212,female,golden,32,US
213,male,golden,45,UK
214,female,golden,30,US
215,female,normal,37,UK
216,female,golden,35,UK
217,female,golden,14,US
218,male,golden,50,TW
219,male,golden,18,US
220,male,normal,39,UK
221,male,golden,28,US
222,male,golden,22,UK
223,male,golden,25,US
224,female,golden,53,US
225,female,golden,26,JP
226,female,golden,35,BR
227,female,premium,35,UK
228,male,normal,45,US
229,female,golden,37,US
230,male,golden,21,US
231,female,premium,14,US
232,female,normal,45,US
233,male,premium,14,US
234,female,golden,33,US
235,male,normal,48,UK
236,female,golden,33,US
237,male,golden,49,US
238,female,golden,47,US
239,female,normal,33,US
240,male,normal,45,US
241,female,premium,19,BR
242,male,normal,28,UK
243,female,premium,18,JP
244,female,normal,22,US
245,female,golden,29,US
246,male,golden,27,US
247,male,golden,25,US
248,male,normal,40,US
249,female,golden,44,TW
250,female,normal,39,US
251,male,golden,16,US
252,female,golden,41,US
253,female,premium,27,US
254,female,golden,20,US
255,female,golden,14,JP
256,female,golden,48,UK
257,male,premium,29,BR
258,female,golden,37,UK
259,male,normal,17,US
260,female,golden,34,US
261,male,normal,35,US
262,male,golden,38,US
263,male,golden,20,US
264,male,golden,39,UK
265,female,golden,51,UK
266,female,golden,38,JP
267,female,premium,40,BR
268,male,premium,45,UK
269,female,normal,29,US
270,male,golden,19,US
271,male,premium,35,US
272,female,premium,34,JP
273,male,normal,41,US
274,male,normal,48,US
275,female,golden,20,US
276,male,premium,15,US
277,female,premium,16,US
278,male,golden,22,UK
279,female,golden,15,BR
280,female,normal,31,UK
281,male,premium,26,US
282,male,golden,51,UK
283,female,normal,38,US
284,male,golden,35,US
285,male,golden,40,US
286,male,golden,42,UK
287,male,normal,30,US
288,male,golden,16,US
289,female,premium,25,TW
290,male,premium,23,JP
291,male,golden,50,US
292,female,golden,29,US
293,male,premium,48,UK
294,female,golden,38,UK
295,male,golden,26,US
296,female,golden,27,US
297,male,normal,34,UK
298,male,golden,28,US
299,female,golden,43,US
300,male,normal,28,JP
301,male,normal,31,US
302,male,normal,26,US
303,male,golden,20,JP
304,male,normal,46,US
305,male,premium,29,JP
306,female,normal,31,US
307,female,normal,37,US
308,female,premium,45,US
309,female,golden,52,US
310,female,premium,47,BR
311,female,golden,35,US
312,female,golden,49,UK
313,female,premium,21,TW
314,male,normal,38,UK
315,female,normal,30,US
316,male,golden,21,UK
317,male,normal,49,UK
318,female,normal,17,UK
319,male,premium,17,UK
320,female,golden,17,JP
321,female,normal,49,US
322,male,golden,51,US
323,female,normal,42,UK
324,female,golden,25,US
325,male,premium,45,UK
326,male,premium,31,TW
327,male,golden,48,UK
328,male,golden,43,UK
329,female,golden,47,UK
330,male,golden,28,JP
331,male,golden,52,US
332,male,golden,47,US
333,male,golden,27,US
334,female,normal,36,US
335,male,premium,38,JP
336,male,golden,14,US
337,female,premium,32,BR
338,female,premium,14,JP
339,male,golden,43,UK
340,male,golden,25,US
341,female,normal,31,US
342,female,normal,31,UK
343,female,golden,41,JP
344,male,golden,53,US
345,female,premium,49,US
346,female,premium,29,JP
347,female,golden,44,US
348,female,premium,17,US
349,male,golden,51,US
350,female,normal,52,US
351,male,normal,43,JP
352,male,normal,30,BR
353,male,premium,39,US
354,male,golden,20,US
355,female,golden,20,US
356,male,golden,34,BR
357,male,normal,47,US
358,female,golden,41,US
359,female,golden,29,US
360,male,normal,18,UK
361,male,normal,31,US
362,female,golden,38,US
363,female,normal,45,US
364,female,premium,39,JP
365,male,premium,21,US
366,male,golden,21,US
367,male,golden,29,US
368,female,golden,16,US
369,male,golden,18,US
370,male,golden,38,UK
371,female,golden,53,US
372,female,premium,46,US
373,male,golden,28,US
374,female,golden,32,US
375,female,premium,44,JP
376,male,golden,51,BR
377,female,golden,30,US
378,male,normal,14,US
379,male,normal,15,US
380,male,golden,18,TW
381,male,normal,33,US
382,female,normal,21,US
383,male,golden,29,US
384,male,normal,40,US
385,male,normal,39,US
386,male,normal,40,US
387,male,golden,49,UK
388,male,golden,38,US
389,female,golden,18,UK
390,female,golden,35,TW
391,male,premium,52,US
392,male,golden,36,US
393,female,golden,25,US
394,female,premium,22,BR
395,female,normal,50,US
396,male,premium,51,US
397,male,premium,16,US
398,male,premium,25,US
399,female,premium,28,US
400,male,normal,14,US
401,male,golden,27,US
402,male,golden,27,US
403,male,premium,22,US
404,female,normal,46,US
405,male,golden,17,US
406,male,golden,52,US
407,male,premium,34,US
408,female,golden,22,UK
409,male,normal,14,US
410,female,normal,24,US
411,female,golden,32,US
412,male,normal,18,US
413,female,golden,26,US
414,female,normal,38,US
415,male,golden,44,US
416,female,normal,42,US
417,female,normal,50,US
418,female,normal,47,UK
419,female,premium,46,TW
420,female,normal,32,US
421,male,normal,30,US
422,male,premium,53,US
423,female,normal,22,UK
424,male,normal,15,BR
425,female,normal,17,US
426,female,golden,35,US
427,male,golden,50,US
428,female,normal,22,UK
429,male,premium,15,JP
430,male,golden,49,BR
431,female,normal,32,BR
432,male,golden,19,UK
433,female,golden,38,US
434,female,golden,30,JP
435,female,normal,44,UK
436,female,premium,23,US
437,female,normal,19,US
438,male,normal,31,US
